asof_mode,split,date,symbol,side,price_location,rows,share_within_side
same_timestamp_allowed,train,2025-12-01,btcusdt,buy,above_ask,2002185,0.5904069214539418
strictly_previous_bbo,train,2025-12-01,btcusdt,buy,above_ask,2012477,0.593441839823425
same_timestamp_allowed,train,2025-12-01,btcusdt,buy,at_ask,1323727,0.3903423424486059
strictly_previous_bbo,train,2025-12-01,btcusdt,buy,at_ask,1311139,0.386630376607656
same_timestamp_allowed,train,2025-12-01,btcusdt,buy,inside_spread,13623,0.004017167989455044
strictly_previous_bbo,train,2025-12-01,btcusdt,buy,inside_spread,13816,0.00407408008091543
same_timestamp_allowed,train,2025-12-01,btcusdt,buy,at_bid,4099,0.0012087184606016464
strictly_previous_bbo,train,2025-12-01,btcusdt,buy,at_bid,4170,0.0012296550331077983
same_timestamp_allowed,train,2025-12-01,btcusdt,buy,below_bid,47535,0.01401718273352019
strictly_previous_bbo,train,2025-12-01,btcusdt,buy,below_bid,49567,0.0146163815410202
same_timestamp_allowed,train,2025-12-01,btcusdt,buy,outside_or_ambiguous,0,0.0
strictly_previous_bbo,train,2025-12-01,btcusdt,buy,outside_or_ambiguous,0,0.0
same_timestamp_allowed,train,2025-12-01,btcusdt,buy,missing_bbo,26,7.666913875492268e-6
strictly_previous_bbo,train,2025-12-01,btcusdt,buy,missing_bbo,26,7.666913875492268e-6
same_timestamp_allowed,train,2025-12-01,btcusdt,sell,above_ask,43687,0.012937886771353569
strictly_previous_bbo,train,2025-12-01,btcusdt,sell,above_ask,45000,0.0133267311719942
same_timestamp_allowed,train,2025-12-01,btcusdt,sell,at_ask,3041,0.0009005908776452081
strictly_previous_bbo,train,2025-12-01,btcusdt,sell,at_ask,3094,0.0009162868054700012
same_timestamp_allowed,train,2025-12-01,btcusdt,sell,inside_spread,13147,0.0038934785492935053
strictly_previous_bbo,train,2025-12-01,btcusdt,sell,inside_spread,13316,0.003943527828583883
same_timestamp_allowed,train,2025-12-01,btcusdt,sell,at_bid,1237173,0.36638826631665733
strictly_previous_bbo,train,2025-12-01,btcusdt,sell,at_bid,1224884,0.3627488841083765
same_timestamp_allowed,train,2025-12-01,btcusdt,sell,below_bid,2079393,0.6158113669317008
strictly_previous_bbo,train,2025-12-01,btcusdt,sell,below_bid,2090147,0.6189961595322259
same_timestamp_allowed,train,2025-12-01,btcusdt,sell,outside_or_ambiguous,0,0.0
strictly_previous_bbo,train,2025-12-01,btcusdt,sell,outside_or_ambiguous,0,0.0
same_timestamp_allowed,train,2025-12-01,btcusdt,sell,missing_bbo,231,0.00006841055334957023
strictly_previous_bbo,train,2025-12-01,btcusdt,sell,missing_bbo,231,0.00006841055334957023
same_timestamp_allowed,train,2025-12-02,btcusdt,buy,above_ask,1591323,0.5911136981273931
strictly_previous_bbo,train,2025-12-02,btcusdt,buy,above_ask,1598274,0.5936957203288465
same_timestamp_allowed,train,2025-12-02,btcusdt,buy,at_ask,1049111,0.3897033367557231
strictly_previous_bbo,train,2025-12-02,btcusdt,buy,at_ask,1040868,0.3866413875388362
same_timestamp_allowed,train,2025-12-02,btcusdt,buy,inside_spread,9743,0.003619140024278661
strictly_previous_bbo,train,2025-12-02,btcusdt,buy,inside_spread,9795,0.003638455972268242
same_timestamp_allowed,train,2025-12-02,btcusdt,buy,at_bid,3436,0.0012763384094654088
strictly_previous_bbo,train,2025-12-02,btcusdt,buy,at_bid,3473,0.0012900824493810724
same_timestamp_allowed,train,2025-12-02,btcusdt,buy,below_bid,38463,0.014287486683139703
strictly_previous_bbo,train,2025-12-02,btcusdt,buy,below_bid,39666,0.014734353710667902
same_timestamp_allowed,train,2025-12-02,btcusdt,buy,outside_or_ambiguous,0,0.0
strictly_previous_bbo,train,2025-12-02,btcusdt,buy,outside_or_ambiguous,0,0.0
same_timestamp_allowed,train,2025-12-02,btcusdt,buy,missing_bbo,0,0.0
strictly_previous_bbo,train,2025-12-02,btcusdt,buy,missing_bbo,0,0.0
same_timestamp_allowed,train,2025-12-02,btcusdt,sell,above_ask,39026,0.014848448876226654
strictly_previous_bbo,train,2025-12-02,btcusdt,sell,above_ask,40129,0.015268113692258991
same_timestamp_allowed,train,2025-12-02,btcusdt,sell,at_ask,2573,0.0009789642535369032
strictly_previous_bbo,train,2025-12-02,btcusdt,sell,at_ask,2620,0.0009968466165047362
same_timestamp_allowed,train,2025-12-02,btcusdt,sell,inside_spread,10083,0.003836337570311929
strictly_previous_bbo,train,2025-12-02,btcusdt,sell,inside_spread,10255,0.0039017794092580417
same_timestamp_allowed,train,2025-12-02,btcusdt,sell,at_bid,1070772,0.4074028416977135
strictly_previous_bbo,train,2025-12-02,btcusdt,sell,at_bid,1062360,0.4042022792022792
same_timestamp_allowed,train,2025-12-02,btcusdt,sell,below_bid,1505834,0.572933407602211
