split,date,symbol,side,horizon_seconds,rows,clipped_turnover,weighted_pnl_bps,mean_pnl_bps
train,2025-12-01,btcusdt,buy,1,3391191,11379561358.124601,-0.06903528863493318,-0.1618508308246567
train,2025-12-01,btcusdt,sell,1,3376613,11704549152.547598,0.007159646830593204,-0.15952203799397974
train,2025-12-01,btcusdt,buy,5,3391195,11379699813.758299,-0.19550788935699978,-0.27067433989518935
train,2025-12-01,btcusdt,sell,5,3376672,11704698629.255297,0.10426568361704201,-0.2410197451354746
train,2025-12-01,btcusdt,buy,10,3391195,11379699813.758299,-0.16976668251649263,-0.2389145125194308
train,2025-12-01,btcusdt,sell,10,3376672,11704698629.255297,0.1428370481925632,-0.1896130683144363
train,2025-12-01,btcusdt,buy,30,3391195,11379699813.758299,0.008595262894351547,-0.09235928541213438
train,2025-12-01,btcusdt,sell,30,3376672,11704698629.255297,0.04257379733056628,-0.32808734935927436
train,2025-12-01,btcusdt,buy,60,3391195,11379699813.758299,0.44707868808321827,0.17675178088604407
train,2025-12-01,btcusdt,sell,60,3376672,11704698629.255297,-0.57247752924813,-0.732203613087742
train,2025-12-01,btcusdt,buy,120,3391195,11379699813.758299,0.9369338600321397,0.7786402971544827
train,2025-12-01,btcusdt,sell,120,3376672,11704698629.255297,-1.2454680934665645,-1.3993369366629274
train,2025-12-01,btcusdt,buy,300,3391195,11379699813.758299,3.199518024629381,2.906835592733108
train,2025-12-01,btcusdt,sell,300,3376672,11704698629.255297,-3.919543594348015,-3.7601868031010635
train,2025-12-02,btcusdt,buy,1,2692076,9444872233.485,-0.10856917495429624,-0.14561468026864435
train,2025-12-02,btcusdt,sell,1,2628288,9202664522.922401,-0.01410116140739325,-0.07336970699304239
train,2025-12-02,btcusdt,buy,5,2692076,9444872233.485,-0.35023879040193295,-0.38523801918327294
train,2025-12-02,btcusdt,sell,5,2628288,9202664522.922401,0.09174860387870992,-0.037852149418138095
train,2025-12-02,btcusdt,buy,10,2692076,9444872233.485,-0.35347638507972534,-0.45038003855956965
train,2025-12-02,btcusdt,sell,10,2628288,9202664522.922401,0.17838956344046142,0.00488826558405917
train,2025-12-02,btcusdt,buy,30,2692076,9444872233.485,-0.11987090065542119,-0.4425389994555715
train,2025-12-02,btcusdt,sell,30,2628288,9202664522.922401,0.22643206834751275,0.08408634962297588
train,2025-12-02,btcusdt,buy,60,2692076,9444872233.485,-0.25648373711857625,-0.6457172771352688
train,2025-12-02,btcusdt,sell,60,2628288,9202664522.922401,0.5420806224841551,0.42070222874489344
train,2025-12-02,btcusdt,buy,120,2692076,9444872233.485,-0.48353987502609946,-1.075460295645865
train,2025-12-02,btcusdt,sell,120,2628288,9202664522.922401,1.0047433576062377,1.0501647773524752
train,2025-12-02,btcusdt,buy,300,2692076,9444872233.485,-3.141132861041977,-3.4056204896931526
train,2025-12-02,btcusdt,sell,300,2628288,9202664522.922401,3.1719613199926266,3.2623327271563385
