split,symbol,side,venue,window_seconds,liq_pressure_bucket,maker_vs_liq_pressure,horizon_seconds,rows,clipped_turnover,weighted_pnl_bps,mean_pnl_bps
train,btcusdt,buy,binance,1,downward_pressure,opposite_direction,30,3561639,14233757291.925201,-1.6516664552078222,-1.2594106624961745
train,btcusdt,buy,binance,1,no_pressure,none,30,97770378,309562648373.7532,-0.22018957036553546,-0.25534906519636336
train,btcusdt,buy,binance,1,upward_pressure,same_direction_toxic_risk,30,3931301,19425224550.81598,0.5918396582817173,0.37559554478107376
train,btcusdt,sell,binance,1,downward_pressure,same_direction_toxic_risk,30,5410081,27381959541.309597,2.2976845592668336,1.6001257751348401
train,btcusdt,sell,binance,1,no_pressure,none,30,97980518,309954816788.9504,-0.17024877157163143,-0.27932825579633347
train,btcusdt,sell,binance,1,upward_pressure,opposite_direction,30,2693129,10501430001.315203,-0.25326309399914737,-0.3857666515277722
train,btcusdt,buy,binance,5,downward_pressure,opposite_direction,30,8273420,30771203467.71624,-0.9645825036898489,-0.7597428242953067
train,btcusdt,buy,binance,5,no_pressure,none,30,88285471,272819187653.8103,-0.2071497951185511,-0.24504881312501847
train,btcusdt,buy,binance,5,upward_pressure,same_direction_toxic_risk,30,8704427,39631239094.96795,0.1519138868666714,-0.006277294972965334
train,btcusdt,sell,binance,5,downward_pressure,same_direction_toxic_risk,30,10918505,50683741394.206024,1.4445489892848826,0.9067168291188232
train,btcusdt,sell,binance,5,no_pressure,none,30,88481088,273148412840.66168,-0.22857974788969118,-0.3115476609246737
train,btcusdt,sell,binance,5,upward_pressure,opposite_direction,30,6684135,24006052096.707592,-0.13716948798428494,-0.3118956645255855
train,btcusdt,buy,binance,10,downward_pressure,opposite_direction,30,11478328,41336461666.80354,-0.7469973144162443,-0.5830420597602278
train,btcusdt,buy,binance,10,no_pressure,none,30,82073554,250804654418.70645,-0.21284408918087466,-0.25046155012208354
train,btcusdt,buy,binance,10,upward_pressure,same_direction_toxic_risk,30,11711436,51080514130.98401,0.07997660981040422,-0.06198591354401085
train,btcusdt,sell,binance,10,downward_pressure,same_direction_toxic_risk,30,14229961,63054908986.9896,1.1796783636507977,0.6665549049274522
train,btcusdt,sell,binance,10,no_pressure,none,30,82333395,251516047544.51596,-0.25783181394633253,-0.3263929918222834
train,btcusdt,sell,binance,10,upward_pressure,opposite_direction,30,9520372,33267249800.069817,-0.061610710391325624,-0.24818816725823836
train,btcusdt,buy,binance,30,downward_pressure,opposite_direction,30,19033251,65464266134.246666,-0.49026505105879997,-0.3548596236406078
train,btcusdt,buy,binance,30,no_pressure,none,30,67708311,203114296500.45895,-0.2074464617862686,-0.2636131582688558
train,btcusdt,buy,binance,30,upward_pressure,same_direction_toxic_risk,30,18521756,74643067581.78818,-0.07964683129483836,-0.18203606762160332
train,btcusdt,sell,binance,30,downward_pressure,same_direction_toxic_risk,30,21703091,88385377074.87964,0.7146461830753876,0.23465228778091082
