split,symbol,side,horizon_seconds,rows,clipped_turnover,weighted_pnl_bps,mean_pnl_bps
train,btcusdt,buy,1,105270903,343245865065.2109,-0.08231193429467712,-0.12367287767628951
train,btcusdt,sell,1,106093737,347871995320.4718,-0.03955077124676582,-0.1053530476244342
train,btcusdt,buy,5,105270499,343245021285.0352,-0.1743644810443761,-0.23610084253108665
train,btcusdt,sell,5,106093078,347870886910.9699,-0.09659464060404971,-0.21053687388984538
train,btcusdt,buy,10,105269502,343241920995.03925,-0.21477130696009963,-0.2707104092842214
train,btcusdt,sell,10,106091618,347865613511.8197,-0.048747977083543295,-0.20758475341241328
train,btcusdt,buy,30,105263318,343221630216.49384,-0.23359619755463643,-0.26575793115284596
train,btcusdt,sell,30,106083728,347838206331.5754,0.02152165590120143,-0.18618158383118028
train,btcusdt,buy,60,105259438,343189105713.52313,-0.16236482813970718,-0.2187152695835881
train,btcusdt,sell,60,106073417,347777727810.51,0.10577492097535028,-0.16084640402584882
train,btcusdt,buy,120,105264142,343203827611.3676,-0.04705932692090164,-0.11388510398407983
train,btcusdt,sell,120,106078253,347790281957.7763,0.05606216170493034,-0.23894131323802684
train,btcusdt,buy,300,105272115,343249301451.38934,0.338131091637236,0.17407721155632463
train,btcusdt,sell,300,106089556,347856670299.4255,-0.2635431527846828,-0.5223843479358277
validation,btcusdt,buy,1,95071825,204417026268.72427,-0.18247670796418827,-0.21041552668707067
validation,btcusdt,sell,1,95425977,205864223056.3388,-0.10651246820667254,-0.1828637705352735
validation,btcusdt,buy,5,95072041,204417304578.53983,-0.24904179093345666,-0.2839510412256621
validation,btcusdt,sell,5,95426133,205864404541.2514,-0.14833041341093248,-0.25167518209477474
validation,btcusdt,buy,10,95071408,204415595267.07062,-0.2772331461959345,-0.3074918536968343
validation,btcusdt,sell,10,95425359,205862880838.03912,-0.15251491205602297,-0.2702730276705531
validation,btcusdt,buy,30,95070810,204413814678.68893,-0.2182524436970983,-0.21600924895371895
validation,btcusdt,sell,30,95425707,205863315941.1372,-0.15757296316295155,-0.31043242357116163
validation,btcusdt,buy,60,95070207,204411581508.52548,-0.04121321147131779,-0.10346847688528783
validation,btcusdt,sell,60,95425576,205862318580.49142,-0.2638464918396559,-0.3883472479884257
validation,btcusdt,buy,120,95070846,204414664367.5615,0.02810167894602463,0.0010679927822551459
validation,btcusdt,sell,120,95425594,205863881688.97882,-0.37528062568517706,-0.5019294425452249
validation,btcusdt,buy,300,95066763,204404890412.78705,0.2903301623201716,0.33946226748483954
validation,btcusdt,sell,300,95423900,205861618868.10822,-0.5979914218575815,-0.7167825342083162
train,ethusdt,buy,1,194001258,335529325047.2112,-0.10062383783326935,-0.1383824640646279
train,ethusdt,sell,1,194873018,340985076489.7826,0.020429313389193182,-0.0911119454608444
train,ethusdt,buy,5,194001156,335527915834.81714,-0.19423605954253012,-0.21617385662413907
train,ethusdt,sell,5,194872514,340983727532.9862,-0.008091544877275855,-0.16130676240220818
train,ethusdt,buy,10,193998189,335520328411.101,-0.23045230065255165,-0.24072543081150322
train,ethusdt,sell,10,194867256,340966366726.3864,0.09305967055552733,-0.13209211362928536
train,ethusdt,buy,30,193987393,335498894688.5439,-0.254847150484165,-0.22023252838672672
train,ethusdt,sell,30,194846574,340920320846.886,0.18280778719316623,-0.10441849356014621
train,ethusdt,buy,60,193984123,335488576511.688,-0.2938857309409249,-0.18913834104872984
train,ethusdt,sell,60,194837346,340881186757.13495,0.2884266430709839,-0.10489369507395759
train,ethusdt,buy,120,193983837,335483765463.70636,-0.23821036758053013,-0.046829149620205374
train,ethusdt,sell,120,194840621,340885043337.1667,0.45136862359806956,-0.14533501677935431
train,ethusdt,buy,300,193983451,335480904319.4603,0.22550919082715454,0.37324846704502906
train,ethusdt,sell,300,194827230,340846877236.09705,0.14879403178343956,-0.5050482255374398
validation,ethusdt,buy,1,158337137,174766498925.431,-0.1609025511415654,-0.19104203402124087
validation,ethusdt,sell,1,158535744,175626004083.8814,-0.007142944644456208,-0.14117400676362885
validation,ethusdt,buy,5,158337538,174766957347.04825,-0.21730233435473323,-0.24836324936489135
validation,ethusdt,sell,5,158536046,175626192443.2901,0.14161020146247777,-0.12437299406976185
validation,ethusdt,buy,10,158336955,174765935216.48965,-0.19751170001146154,-0.26925544821757746
validation,ethusdt,sell,10,158535627,175625302194.47125,0.23399400727126912,-0.12767196939467662
validation,ethusdt,buy,30,158335954,174764149183.5871,-0.08831316459297228,-0.1544928940261451
validation,ethusdt,sell,30,158535308,175625729837.4962,0.32533272672096814,-0.1424752927008469
validation,ethusdt,buy,60,158333581,174759515744.58936,0.140634374380683,-0.06183320935446637
validation,ethusdt,sell,60,158534382,175623547288.54004,0.19474306312238462,-0.20096088599798637
validation,ethusdt,buy,120,158334331,174758342071.4738,0.25428452847148586,-0.008690606687946785
validation,ethusdt,sell,120,158537817,175627512256.03064,0.013010188790447857,-0.33217562447552273
validation,ethusdt,buy,300,158333282,174757476837.42728,0.753097453086583,0.22280740215587336
validation,ethusdt,sell,300,158534270,175623969415.27335,-0.27980597191530115,-0.4142171529658058
