source,venue,data_type,symbol,hour_utc,rows
binance_trades,binance,trades,btcusdt,00,15436332
binance_trades,binance,trades,btcusdt,01,16326206
binance_trades,binance,trades,btcusdt,02,14236087
binance_trades,binance,trades,btcusdt,03,12982099
binance_trades,binance,trades,btcusdt,04,11069690
binance_trades,binance,trades,btcusdt,05,10375765
binance_trades,binance,trades,btcusdt,06,11767277
binance_trades,binance,trades,btcusdt,07,11678083
binance_trades,binance,trades,btcusdt,08,12453970
binance_trades,binance,trades,btcusdt,09,11480849
binance_trades,binance,trades,btcusdt,10,10271000
binance_trades,binance,trades,btcusdt,11,10762179
binance_trades,binance,trades,btcusdt,12,12616011
binance_trades,binance,trades,btcusdt,13,16539173
binance_trades,binance,trades,btcusdt,14,34199129
binance_trades,binance,trades,btcusdt,15,39459332
binance_trades,binance,trades,btcusdt,16,29968749
binance_trades,binance,trades,btcusdt,17,24973466
binance_trades,binance,trades,btcusdt,18,22075175
binance_trades,binance,trades,btcusdt,19,19019836
binance_trades,binance,trades,btcusdt,20,17577682
binance_trades,binance,trades,btcusdt,21,12730746
binance_trades,binance,trades,btcusdt,22,10934374
binance_trades,binance,trades,btcusdt,23,12969303
binance_booktickers,binance,bbo,btcusdt,00,4017379
binance_booktickers,binance,bbo,btcusdt,01,4025897
binance_booktickers,binance,bbo,btcusdt,02,3982951
binance_booktickers,binance,bbo,btcusdt,03,3949124
binance_booktickers,binance,bbo,btcusdt,04,3829874
binance_booktickers,binance,bbo,btcusdt,05,3722466
binance_booktickers,binance,bbo,btcusdt,06,3837639
binance_booktickers,binance,bbo,btcusdt,07,3916406
binance_booktickers,binance,bbo,btcusdt,08,4047243
binance_booktickers,binance,bbo,btcusdt,09,3970005
binance_booktickers,binance,bbo,btcusdt,10,3861251
binance_booktickers,binance,bbo,btcusdt,11,3869309
binance_booktickers,binance,bbo,btcusdt,12,4005575
binance_booktickers,binance,bbo,btcusdt,13,4218655
binance_booktickers,binance,bbo,btcusdt,14,4918211
binance_booktickers,binance,bbo,btcusdt,15,5167772
binance_booktickers,binance,bbo,btcusdt,16,4934300
binance_booktickers,binance,bbo,btcusdt,17,4638302
binance_booktickers,binance,bbo,btcusdt,18,4475511
binance_booktickers,binance,bbo,btcusdt,19,4295079
binance_booktickers,binance,bbo,btcusdt,20,4211488
binance_booktickers,binance,bbo,btcusdt,21,3839484
binance_booktickers,binance,bbo,btcusdt,22,3697530
binance_booktickers,binance,bbo,btcusdt,23,3738026
binance_liquidations,binance,liquidations,btcusdt,00,4904
binance_liquidations,binance,liquidations,btcusdt,01,4430
binance_liquidations,binance,liquidations,btcusdt,02,3782
binance_liquidations,binance,liquidations,btcusdt,03,3601
binance_liquidations,binance,liquidations,btcusdt,04,3136
binance_liquidations,binance,liquidations,btcusdt,05,2897
binance_liquidations,binance,liquidations,btcusdt,06,3697
binance_liquidations,binance,liquidations,btcusdt,07,3173
binance_liquidations,binance,liquidations,btcusdt,08,3762
binance_liquidations,binance,liquidations,btcusdt,09,3401
binance_liquidations,binance,liquidations,btcusdt,10,2779
binance_liquidations,binance,liquidations,btcusdt,11,3044
binance_liquidations,binance,liquidations,btcusdt,12,3444
binance_liquidations,binance,liquidations,btcusdt,13,4588
binance_liquidations,binance,liquidations,btcusdt,14,9698
binance_liquidations,binance,liquidations,btcusdt,15,10929
binance_liquidations,binance,liquidations,btcusdt,16,8594
binance_liquidations,binance,liquidations,btcusdt,17,7233
binance_liquidations,binance,liquidations,btcusdt,18,6571
binance_liquidations,binance,liquidations,btcusdt,19,5076
binance_liquidations,binance,liquidations,btcusdt,20,4923
binance_liquidations,binance,liquidations,btcusdt,21,3705
binance_liquidations,binance,liquidations,btcusdt,22,3509
binance_liquidations,binance,liquidations,btcusdt,23,3379
bybit_liquidations,bybit,liquidations,btcusdt,00,14668
bybit_liquidations,bybit,liquidations,btcusdt,01,13172
bybit_liquidations,bybit,liquidations,btcusdt,02,5527
bybit_liquidations,bybit,liquidations,btcusdt,03,5865
bybit_liquidations,bybit,liquidations,btcusdt,04,4269
bybit_liquidations,bybit,liquidations,btcusdt,05,4374
bybit_liquidations,bybit,liquidations,btcusdt,06,6436
bybit_liquidations,bybit,liquidations,btcusdt,07,3419
bybit_liquidations,bybit,liquidations,btcusdt,08,4479
bybit_liquidations,bybit,liquidations,btcusdt,09,3263
bybit_liquidations,bybit,liquidations,btcusdt,10,3038
bybit_liquidations,bybit,liquidations,btcusdt,11,4829
bybit_liquidations,bybit,liquidations,btcusdt,12,5635
bybit_liquidations,bybit,liquidations,btcusdt,13,7340
bybit_liquidations,bybit,liquidations,btcusdt,14,21060
bybit_liquidations,bybit,liquidations,btcusdt,15,27619
bybit_liquidations,bybit,liquidations,btcusdt,16,16000
bybit_liquidations,bybit,liquidations,btcusdt,17,18731
bybit_liquidations,bybit,liquidations,btcusdt,18,18807
bybit_liquidations,bybit,liquidations,btcusdt,19,9082
bybit_liquidations,bybit,liquidations,btcusdt,20,11567
bybit_liquidations,bybit,liquidations,btcusdt,21,5081
