split,date,venue,symbol,side,rows,mean_notional,notional_sum,clipped_turnover
train,2025-12-01,binance,btcusdt,buy,963,8594.699782928348,8276695.8909599995,7311442.8955500005
train,2025-12-01,binance,btcusdt,sell,1959,10922.407499994895,21396996.292489998,14539497.27121
train,2025-12-01,bybit,btcusdt,buy,1016,11048.840281102362,11225621.7256,7093934.126999999
train,2025-12-01,bybit,btcusdt,sell,6026,13640.594000215733,82198219.44530001,44595249.4642
train,2025-12-02,binance,btcusdt,buy,1094,9260.178770091408,10130635.57448,8248406.163380001
train,2025-12-02,binance,btcusdt,sell,551,7194.978605081669,3964433.2114,3127735.0803
train,2025-12-02,bybit,btcusdt,buy,2629,12587.681077976416,33093013.553999998,20870161.429
train,2025-12-02,bybit,btcusdt,sell,396,7934.860368939394,3142204.7061,2311809.6851
train,2025-12-03,binance,btcusdt,buy,1126,10807.545695301955,12169296.45291,7825834.78331
train,2025-12-03,binance,btcusdt,sell,641,8399.827740764431,5384289.5818300005,4432051.00533
train,2025-12-03,bybit,btcusdt,buy,1888,17528.63164528602,33094056.5463,14442213.9023
train,2025-12-03,bybit,btcusdt,sell,814,10343.537128009826,8419639.222199999,5796614.2744
train,2025-12-04,binance,btcusdt,buy,541,11683.37545181146,6320706.11943,4144975.98219
train,2025-12-04,binance,btcusdt,sell,748,9930.401227125669,7427940.11789,5808851.678850001
train,2025-12-04,bybit,btcusdt,buy,344,15341.723067151162,5277552.7351,2392887.8232
train,2025-12-04,bybit,btcusdt,sell,1211,12650.651236003303,15319938.6468,8942991.988
train,2025-12-05,binance,btcusdt,buy,535,12875.313488785045,6888292.716499999,3917867.4258000003
train,2025-12-05,binance,btcusdt,sell,981,19204.843596850158,18839951.568510003,6904448.15339
train,2025-12-05,bybit,btcusdt,buy,400,7944.313974499999,3177725.5897999997,2309657.3503
train,2025-12-05,bybit,btcusdt,sell,2240,14067.115011785716,31510337.626400005,16973568.7835
train,2025-12-06,binance,btcusdt,buy,205,7628.439533804878,1563830.10443,1388627.3237899998
train,2025-12-06,binance,btcusdt,sell,360,6835.245092361111,2460688.23325,1952552.02565
train,2025-12-06,bybit,btcusdt,buy,213,7178.865169014084,1529098.281,1423642.6808
train,2025-12-06,bybit,btcusdt,sell,338,7371.738269526626,2491647.5350999995,1721111.6322
train,2025-12-07,binance,btcusdt,buy,523,9075.304016405353,4746384.00058,4058088.42198
train,2025-12-07,binance,btcusdt,sell,652,7212.649367346626,4702647.38751,4196964.612910001
train,2025-12-07,bybit,btcusdt,buy,908,11799.54051993392,10713982.7921,7410842.9156
train,2025-12-07,bybit,btcusdt,sell,1403,12404.192706129723,17403082.3667,8831304.4246
train,2025-12-08,binance,btcusdt,buy,570,8074.874291017543,4602678.34588,3825688.6067
train,2025-12-08,binance,btcusdt,sell,544,7580.34604367647,4123708.2477599997,3587625.86246
train,2025-12-08,bybit,btcusdt,buy,509,13981.501342829077,7116584.1835,3615513.7541999994
train,2025-12-08,bybit,btcusdt,sell,690,16236.725510144925,11203340.601999998,5241915.3393
train,2025-12-09,binance,btcusdt,buy,784,10798.792113290818,8466253.01682,6017302.5814
train,2025-12-09,binance,btcusdt,sell,614,10170.116188615637,6244451.339810001,4476392.536429999
train,2025-12-09,bybit,btcusdt,buy,1496,13868.888101804812,20747856.6003,11289477.1527
train,2025-12-09,bybit,btcusdt,sell,574,12197.010489198607,7001084.0208,4277574.1123
train,2025-12-10,binance,btcusdt,buy,572,6642.0133778671325,3799231.65214,3618443.26844
train,2025-12-10,binance,btcusdt,sell,591,9483.39242678511,5604684.92423,3633770.03923
train,2025-12-10,bybit,btcusdt,buy,676,12678.802398076923,8570870.4211,4442431.4178
train,2025-12-10,bybit,btcusdt,sell,879,11650.561655858932,10240843.695500001,6853602.156099999
train,2025-12-11,binance,btcusdt,buy,647,13100.145618825347,8475794.21538,5725275.972279999
train,2025-12-11,binance,btcusdt,sell,984,12008.323363668698,11816190.189849999,7249484.4147499995
train,2025-12-11,bybit,btcusdt,buy,995,18802.85787115578,18708843.5818,8446972.8276
train,2025-12-11,bybit,btcusdt,sell,1694,11916.557289079105,20186648.047700003,11444718.2161
train,2025-12-12,binance,btcusdt,buy,331,6533.736953867069,2162666.93173,1763955.68943
train,2025-12-12,binance,btcusdt,sell,668,9813.207216317365,6555222.4205,4570591.557999999
train,2025-12-12,bybit,btcusdt,buy,162,23401.893550617282,3791106.7551999995,1638724.4446
train,2025-12-12,bybit,btcusdt,sell,1139,16505.38000992098,18799627.831299998,10147003.5991
train,2025-12-13,binance,btcusdt,buy,95,4498.747526736843,427381.01504,427381.01504
train,2025-12-13,binance,btcusdt,sell,253,7415.377576719368,1876090.5269100002,1610447.78241
train,2025-12-13,bybit,btcusdt,buy,24,3769.0202374999994,90456.48569999999,90456.48569999999
train,2025-12-13,bybit,btcusdt,sell,181,3385.291302762431,612737.7258,612737.7258
train,2025-12-14,binance,btcusdt,buy,197,6209.095531928934,1223191.81979,1021741.9612899998
train,2025-12-14,binance,btcusdt,sell,712,9123.524790294943,6495949.65069,4276095.16049
train,2025-12-14,bybit,btcusdt,buy,39,5652.0698769230785,220430.72520000004,220430.72520000004
train,2025-12-14,bybit,btcusdt,sell,2229,14525.519959219382,32377383.9891,16019352.088299999
train,2025-12-15,binance,btcusdt,buy,585,9586.034095128205,5607829.94565,4747975.49
train,2025-12-15,binance,btcusdt,sell,1257,22281.32566654734,28007626.362850003,9085667.89996
train,2025-12-15,bybit,btcusdt,buy,496,8426.181239516129,4179385.8948,3428184.2563000005
train,2025-12-15,bybit,btcusdt,sell,3781,10898.79882361809,41208358.3521,25105593.9285
train,2025-12-16,binance,btcusdt,buy,538,16862.345766449813,9071942.022349998,4926511.47315
train,2025-12-16,binance,btcusdt,sell,661,7189.682988759454,4752380.455569999,3422946.73037
train,2025-12-16,bybit,btcusdt,buy,715,9170.490317202797,6556900.5768,5193030.150599999
