split,symbol,imbalance_bucket,rows,mean_queue_imbalance,prob_next_move_up,prob_next_move_down,prob_next_event_up,prob_next_event_down,no_mid_move_share
train,btcusdt,1,7920558,0.03547495665025438,0.014048096720888631,0.9859519032791113,0.0027573814875164098,0.1935241178714934,0.8037185006409903
train,btcusdt,2,6507789,0.15235154927790906,0.05831577002846515,0.9416842299715348,0.002134365450385684,0.034465776318193475,0.9633998582314208
train,btcusdt,3,6667560,0.2490438032166543,0.13713661025184223,0.8628633897481577,0.0030478915825279413,0.019177330237748143,0.9777747781797239
train,btcusdt,4,5814953,0.34868883000713097,0.2692614611179827,0.7307385388820173,0.00464216993671316,0.012598210166101085,0.9827596198971857
train,btcusdt,5,5614610,0.45027788139330627,0.42024120792405717,0.5797587920759428,0.0063550273304824375,0.008767305298141813,0.9848776673713757
train,btcusdt,6,5623555,0.5496452206749133,0.5671962418262081,0.43280375817379196,0.00854512848189446,0.006520430581722771,0.9849344409363827
train,btcusdt,7,5852607,0.6513802642423817,0.7231775588418243,0.2768224411581756,0.012316220788445218,0.004714480230775789,0.982969298980779
train,btcusdt,8,6800085,0.7510220892425484,0.8595696333275951,0.14043036667240488,0.018357270534118324,0.0029990801585568416,0.9786436493073248
train,btcusdt,9,6679555,0.8477346510153468,0.9397346707652483,0.06026532923475166,0.033044566591636716,0.002119153147178218,0.9648362802611851
train,btcusdt,10,8172672,0.9640525821380556,0.9852979870437911,0.014702012956208937,0.1883185817318987,0.002809974510172438,0.808871443757929
validation,btcusdt,1,5387907,0.03528819640624062,0.02450695389778638,0.9754930461022137,0.00584401326897439,0.2326194568688732,0.7615365298621524
validation,btcusdt,2,3133276,0.15016940074176865,0.10053583793806958,0.8994641620619304,0.006904275269717701,0.061770491970704146,0.9313252327595781
validation,btcusdt,3,3066984,0.24911640685710448,0.20589182660045632,0.7941081733995436,0.010003964807119958,0.03858448560540257,0.9514115495874774
validation,btcusdt,4,2619238,0.34841596388721646,0.33341284716306013,0.6665871528369398,0.014941750234228428,0.02987281033644136,0.9551854394293302
validation,btcusdt,5,2540806,0.45035225590073313,0.4445060488452205,0.5554939511547796,0.019247829232141297,0.02405378450775069,0.9566983862601081
validation,btcusdt,6,2539049,0.5495484282318546,0.5432878979385849,0.45671210206141505,0.023531251267699047,0.019781422099376576,0.9566873266329243
validation,btcusdt,7,2605115,0.6513928281598014,0.6565256994144437,0.3434743005855562,0.02905092481521929,0.015198561291919934,0.9557505138928607
validation,btcusdt,8,3003497,0.7507855769601834,0.785896763146266,0.21410323685373397,0.03789682493440147,0.010324298642549003,0.9517788764230495
validation,btcusdt,9,3113173,0.8500364350200423,0.8921788821288451,0.10782111787115482,0.06048138025095297,0.007309262928851047,0.932209356820196
validation,btcusdt,10,5506398,0.9646264558586033,0.9747300329705897,0.02526996702941026,0.22861024575412092,0.00592674194636857,0.7654630122995105
train,ethusdt,1,11317049,0.03518789169180427,0.027223971951509385,0.9727760280484906,0.004857715116370001,0.17357749356744856,0.8215647913161814
train,ethusdt,2,6351816,0.1500805844898997,0.10263216829155407,0.8973678317084459,0.005411208385129544,0.047313083376470604,0.9472757082383999
train,ethusdt,3,6400581,0.24980586199405852,0.18895399853610303,0.8110460014638969,0.006896873893166886,0.029603406315770398,0.9634997197910627
train,ethusdt,4,6096589,0.34944638622250307,0.3041859929430734,0.6958140070569265,0.009530739237957487,0.02180120719963245,0.9686680535624101
train,ethusdt,5,5946250,0.4498684484776639,0.43694473768488973,0.5630552623151103,0.012390161866722725,0.015966197183098593,0.9716436409501787
train,ethusdt,6,5934946,0.5501928593496969,0.5454930653362298,0.45450693466377023,0.015401151080397362,0.012832298726896589,0.971766550192706
train,ethusdt,7,6082588,0.6504679923901497,0.6811550265141241,0.318844973485876,0.021054524817396805,0.009855508872210315,0.9690899663103929
train,ethusdt,8,6386258,0.7502004531308875,0.7997552733796659,0.20024472662033407,0.028758468574241754,0.007200617325513626,0.9640409141002446
train,ethusdt,9,6455642,0.850236532171571,0.8931983152612242,0.1068016847387759,0.046318553600091204,0.005538411206817231,0.9481430351930916
train,ethusdt,10,11568239,0.9643631994917431,0.9718446827654537,0.028155317234546354,0.1698376909398224,0.004920368605800762,0.8252419404543768
validation,ethusdt,1,5543990,0.03648583087107175,0.045899355831795406,0.9541006441682046,0.012220079762048633,0.2540163311982886,0.7337635890396628
validation,ethusdt,2,3356432,0.14970646808870464,0.14584435715308428,0.8541556428469157,0.013960062351926093,0.0817588439152052,0.9042810937328688
validation,ethusdt,3,3195375,0.24946619961433816,0.24364531722834673,0.7563546827716533,0.01771341391855416,0.054988225169189844,0.9272983609122559
validation,ethusdt,4,2949699,0.34926331078563794,0.34697954358924066,0.6530204564107593,0.02278876590458891,0.04288878288937278,0.9343224512060383
validation,ethusdt,5,2492661,0.4475234301485247,0.45178920891636654,0.5482107910836336,0.030840936653640426,0.03742305913238904,0.9317360042139705
