strategy,rows,final_pnl,pnl_volatility,max_drawdown,turnover,fill_count,buy_fills,sell_fills,final_inventory,max_abs_inventory,avg_abs_inventory,avg_quoted_spread_ticks,gamma,k,tau_seconds,max_inventory,quote_refresh_seconds,score
avellaneda_stoikov_mid,172790,-72.69419610000008,0.01551752670368315,73.87645175000009,305945.97420670144,3852,1918,1934,-4292.0,68765.0,8937.954760113433,90.27974419815962,0.0001,0.025,180.0,100000.0,0.1,-80.0827350704761
avellaneda_stoikov_mid,172790,-72.69419610000008,0.01551752670368315,73.87645175000009,305945.97420670144,3852,1918,1934,-4292.0,68765.0,8937.954760113433,90.27974998553157,0.0001,0.025,180.0,100000.0,0.25,-80.0827350704761
avellaneda_stoikov_mid,172790,-72.7511961000001,0.015509575411029085,73.9334517500001,305776.6852067014,3850,1917,1933,-4292.0,58765.0,8937.318149198449,90.27998772999034,0.0001,0.025,180.0,50000.0,0.1,-80.14543500681503
avellaneda_stoikov_mid,172790,-72.7511961000001,0.015509575411029085,73.9334517500001,305776.6852067014,3850,1917,1933,-4292.0,58765.0,8937.318149198449,90.27999351773074,0.0001,0.025,180.0,50000.0,0.25,-80.14543500681503
avellaneda_stoikov_mid,172790,-84.05609949999908,0.028381820951582235,89.16877679999908,386506.96542419906,4880,2435,2445,-7290.0,90149.0,17054.42365298918,83.98512066670524,0.0001,0.025,60.0,100000.0,0.1,-92.97468262236428
avellaneda_stoikov_mid,172790,-84.05609949999908,0.028381820951582235,89.16877679999908,386506.96542419906,4880,2435,2445,-7290.0,90149.0,17054.42365298918,83.98512066670524,0.0001,0.025,60.0,100000.0,0.25,-92.97468262236428
avellaneda_stoikov_mid,172790,-86.20314665000026,0.02747806763605904,91.32150445000025,379053.36216009915,4787,2390,2397,-7185.0,58480.0,16407.897795011286,84.01108947119924,0.0001,0.025,60.0,50000.0,0.1,-95.33693788477979
avellaneda_stoikov_mid,172790,-86.20314665000026,0.02747806763605904,91.32150445000025,379053.36216009915,4787,2390,2397,-7185.0,58480.0,16407.897795011286,84.01110127478753,0.0001,0.025,60.0,50000.0,0.25,-95.33693788477979
avellaneda_stoikov_mid,172790,-88.1235954999996,0.036578735892222214,96.2145574499996,397193.8533855006,5012,2505,2507,9624.0,59817.0,22757.75300075236,82.48355122295271,0.0001,0.025,30.0,50000.0,0.1,-97.74732702029964
avellaneda_stoikov_mid,172790,-88.1235954999996,0.036578735892222214,96.2145574499996,397193.8533855006,5012,2505,2507,9624.0,59817.0,22757.75300075236,82.48355122295271,0.0001,0.025,30.0,50000.0,0.25,-97.74732702029964
avellaneda_stoikov_mid,172790,-88.09654599999985,0.044355758970671684,100.11418674999996,405399.29516380007,5113,2554,2559,6944.0,108410.0,26565.415562243186,82.40514784261019,0.0001,0.025,30.0,100000.0,0.1,-98.11062121655607
avellaneda_stoikov_mid,172790,-88.09654599999985,0.044355758970671684,100.11418674999996,405399.29516380007,5113,2554,2559,6944.0,108410.0,26565.415562243186,82.40514204940446,0.0001,0.025,30.0,100000.0,0.25,-98.11062121655607
avellaneda_stoikov_mid,172790,-88.79600440000016,0.042425828821601244,97.08578814999993,400847.21862120036,5057,2528,2529,25816.0,59903.0,26041.64773424388,82.01160401385832,0.00001,0.025,180.0,50000.0,0.1,-98.50718737977358
avellaneda_stoikov_mid,172790,-88.79600440000016,0.042425828821601244,97.08578814999993,400847.21862120036,5057,2528,2529,25816.0,59903.0,26041.64773424388,82.01160401385832,0.00001,0.025,180.0,50000.0,0.25,-98.50718737977358
avellaneda_stoikov_mid,172790,-93.71034484999966,0.01563692254142187,94.93804159999956,420678.2570990019,5329,2663,2666,-5035.0,59554.0,8518.904340528965,90.21657925407925,0.0001,0.025,180.0,50000.0,0.5,-103.20500090043366
avellaneda_stoikov_mid,172790,-93.71034484999966,0.01563692254142187,94.93804159999956,420678.2570990019,5329,2663,2666,-5035.0,59554.0,8518.904340528965,90.2164505696221,0.0001,0.025,180.0,100000.0,0.5,-103.20500090043366
avellaneda_stoikov_mid,172790,-93.72731610000056,0.05658174720053933,111.61488390000062,412199.92131160095,5199,2598,2601,32454.0,109416.0,34149.68994733492,81.95125042193968,0.00001,0.025,180.0,100000.0,0.1,-104.89221945899536
avellaneda_stoikov_mid,172790,-93.72731610000056,0.05658174720053933,111.61488390000062,412199.92131160095,5199,2598,2601,32454.0,109416.0,34149.68994733492,81.95125042193968,0.00001,0.025,180.0,100000.0,0.25,-104.89221945899536
avellaneda_stoikov_mid,172790,-96.96618194999968,0.062631513497773,111.49014589999976,376523.8651080991,4755,2376,2379,33385.0,59845.0,35752.90954916373,81.0040805399617,1e-6,0.025,30.0,50000.0,0.1,-108.11877183095457
avellaneda_stoikov_mid,172790,-96.96618194999968,0.062631513497773,111.49014589999976,376523.8651080991,4755,2376,2379,33385.0,59845.0,35752.90954916373,81.0040805399617,1e-6,0.025,30.0,50000.0,0.25,-108.11877183095457
avellaneda_stoikov_mid,172790,-97.79972844999952,0.05780516320682225,111.60900839999974,389360.8933793008,4911,2455,2456,37399.0,59933.0,34007.61917935066,81.15280744642293,0.00001,0.025,30.0,50000.0,0.1,-108.96403005191743
avellaneda_stoikov_mid,172790,-97.79972844999952,0.05780516320682225,111.60900839999974,389360.8933793008,4911,2455,2456,37399.0,59933.0,34007.61917935066,81.15281515812852,0.00001,0.025,30.0,50000.0,0.25,-108.96403005191743
avellaneda_stoikov_mid,172790,-98.09978300000074,0.05382738679512187,111.06581075000048,398076.30863579956,5025,2512,2513,33380.0,59990.0,31939.580681752417,81.36492557549818,0.00001,0.025,60.0,50000.0,0.1,-109.20955803306897
avellaneda_stoikov_mid,172790,-98.09978300000074,0.05382738679512187,111.06581075000048,398076.30863579956,5025,2512,2513,33380.0,59990.0,31939.580681752417,81.36492557549818,0.00001,0.025,60.0,50000.0,0.25,-109.20955803306897
avellaneda_stoikov_mid,172790,-98.07922685000011,0.06242387623224041,112.60319080000008,376704.9881149992,4757,2377,2380,33385.0,59845.0,35723.58053706812,81.00915268789335,1e-6,0.025,60.0,50000.0,0.1,-109.34311828805383
avellaneda_stoikov_mid,172790,-98.07922685000011,0.06242387623224041,112.60319080000008,376704.9881149992,4757,2377,2380,33385.0,59845.0,35723.58053706812,81.00915268789335,1e-6,0.025,60.0,50000.0,0.25,-109.34311828805383
avellaneda_stoikov_mid,172790,-98.90242759999956,0.06013039014830069,112.29754464999971,384588.7367028994,4852,2424,2428,33658.0,59965.0,35066.32617049598,81.09680858625346,1e-6,0.025,180.0,50000.0,0.1,-110.13568869761657
avellaneda_stoikov_mid,172790,-98.90242759999956,0.06013039014830069,112.29754464999971,384588.7367028994,4852,2424,2428,33658.0,59965.0,35066.32617049598,81.09680858625346,1e-6,0.025,180.0,50000.0,0.25,-110.13568869761657
avellaneda_stoikov_mid,172790,-99.97723990000054,0.10489987660133882,127.5636332000002,667116.9587426027,8495,4251,4244,65402.0,109981.0,58393.273065570924,81.01912132938766,1e-6,0.025,60.0,100000.0,2.0,-112.73944254730712
avellaneda_stoikov_mid,172790,-102.64514170000008,0.05657297055547154,106.89319619999978,640953.4632500015,8162,4084,4078,13142.0,59995.0,29780.481358874935,81.00707311682076,1e-6,0.025,60.0,50000.0,2.0,-113.33743936813595
avellaneda_stoikov_mid,172790,-102.69910459999984,0.05658172677998873,106.94715909999954,640607.4039799012,8158,4083,4075,13142.0,59995.0,29771.648723884486,81.00475363378736,1e-6,0.025,30.0,50000.0,2.0,-113.39679767487219
avellaneda_stoikov_mid,172790,-100.8740126999977,0.08329746352744542,127.65852564999739,417383.1928379999,5262,2633,2629,70482.0,109903.0,52040.112188205334,81.32370783019647,0.00001,0.025,60.0,100000.0,0.1,-113.64506927621628
avellaneda_stoikov_mid,172790,-100.8740126999977,0.08329746352744542,127.65852564999739,417383.1928379999,5262,2633,2629,70482.0,109903.0,52040.112188205334,81.32371418226629,0.00001,0.025,60.0,100000.0,0.25,-113.64506927621628
avellaneda_stoikov_mid,172790,-102.04238060000193,0.10544232351301032,129.8926737000017,664800.0319340031,8467,4239,4228,70280.0,109980.0,58745.806858035765,81.00316566254322,1e-6,0.025,30.0,100000.0,2.0,-115.0375225506879
avellaneda_stoikov_mid,172790,-102.74626015000194,0.09673137609330916,129.89023350000173,416238.6123260003,5248,2628,2620,85651.0,109903.0,59367.27202963134,81.16363878707098,0.00001,0.025,30.0,100000.0,0.1,-115.74122022720508
avellaneda_stoikov_mid,172790,-102.74626015000194,0.09673137609330916,129.89023350000173,416238.6123260003,5248,2628,2620,85651.0,109903.0,59367.27202963134,81.16363878707098,0.00001,0.025,30.0,100000.0,0.25,-115.74122022720508
avellaneda_stoikov_mid,172790,-104.51317069999914,0.04382816938524053,115.19895694999909,514993.31505280116,6521,3263,3258,27718.0,59856.0,25495.004369465827,81.97779572328035,0.00001,0.025,180.0,50000.0,0.5,-116.035615895436
avellaneda_stoikov_mid,172790,-104.40652680000119,0.1037525288682133,131.37904430000106,410266.1558797006,5173,2589,2584,85906.0,109812.0,62310.95470223972,81.10389045409347,1e-6,0.025,180.0,100000.0,0.1,-117.55066232547152
avellaneda_stoikov_mid,172790,-104.40652680000119,0.1037525288682133,131.37904430000106,410266.1558797006,5173,2589,2584,85906.0,109812.0,62310.95470223972,81.10388354877914,1e-6,0.025,180.0,100000.0,0.25,-117.55066232547152
avellaneda_stoikov_mid,172790,-105.99076189999911,0.0420158828087438,121.79817084999885,519889.9558413996,6587,3294,3293,29662.0,107125.0,24209.079327507377,82.41157336172752,0.0001,0.025,30.0,100000.0,0.5,-118.17299989293174
avellaneda_stoikov_mid,172790,-107.2425062500023,0.052029781243570626,111.49179775000233,598853.7749225998,7626,3823,3803,-15779.0,59979.0,27043.76672261126,81.23878343765372,0.00001,0.025,60.0,50000.0,5.0,-118.39439040167478
avellaneda_stoikov_mid,172790,-107.45129634999955,0.028763797346299556,112.15035829999974,500231.9553776001,6337,3160,3177,-1729.0,103115.0,16153.041819549742,83.96507156652798,0.0001,0.025,60.0,100000.0,0.5,-118.66794748418148
avellaneda_stoikov_mid,172790,-105.79013339999949,0.11736090809079582,132.01965785000027,397104.8938048002,5007,2506,2501,85732.0,109986.0,66431.65161178309,81.00528028933093,1e-6,0.025,30.0,100000.0,0.1,-118.9987423501607
avellaneda_stoikov_mid,172790,-105.79013339999949,0.11736090809079582,132.01965785000027,397104.8938048002,5007,2506,2501,85732.0,109986.0,66431.65161178309,81.00528028933093,1e-6,0.025,30.0,100000.0,0.25,-118.9987423501607
avellaneda_stoikov_mid,172790,-107.78069660000077,0.036812024479889224,116.73676700000078,511856.83033870166,6491,3247,3244,18914.0,59901.0,21142.348613924416,82.45725135421903,0.0001,0.025,30.0,50000.0,0.5,-119.45648753486225
avellaneda_stoikov_mid,172790,-108.38707824999852,0.0535199869473433,113.56561824999888,592881.4620505007,7553,3789,3764,-11889.0,59887.0,28013.54429654494,81.05211435893884,1e-6,0.025,180.0,50000.0,5.0,-119.74644142942806
avellaneda_stoikov_mid,172790,-106.58348215000137,0.11462669691383917,132.41056010000239,401470.04401549953,5064,2535,2529,87981.0,109880.0,66017.3658892297,81.02755058114506,1e-6,0.025,60.0,100000.0,0.1,-119.83113989659053
avellaneda_stoikov_mid,172790,-106.58348215000137,0.11462669691383917,132.41056010000239,401470.04401549953,5064,2535,2529,87981.0,109880.0,66017.3658892297,81.02755058114506,1e-6,0.025,60.0,100000.0,0.25,-119.83113989659053
avellaneda_stoikov_mid,172790,-109.3022223999992,0.054528132809740656,114.11516029999952,591734.5702678995,7542,3784,3758,-11174.0,59982.0,28569.887788645177,81.00388347827598,1e-6,0.025,30.0,50000.0,5.0,-120.71659541877801
avellaneda_stoikov_mid,172790,-109.55098165000007,0.05638796450699031,114.00525794999979,643640.4404025017,8191,4097,4094,17283.0,59991.0,29529.978945540828,81.06502090716612,1e-6,0.025,180.0,50000.0,2.0,-120.9544604428946
