split,imbalance_bucket,n,local_n,mean_imbalance,mean_adjustment_ticks,mean_next_mid_move_ticks,mean_local_next_mid_move_ticks,local_transition_share
train,1,97347,64013,0.034488847677898324,-1.345176303493795,-4.312120558414743,-0.9753956227641261,0.6575754774158423
train,2,50910,35153,0.14789535782196295,-0.8195825635801979,-2.5920153211549795,-0.5482177908002162,0.6904930269102337
train,3,41238,28643,0.2487534350857821,-0.5505271454518508,-1.8402080605266986,-0.4066787696819467,0.6945778165769436
train,4,35848,24758,0.34915939176692684,-0.32559997999771556,-1.000083686677081,-0.24145730672913807,0.6906382503905378
train,5,33660,23254,0.44969480779733567,-0.08686851716987389,-0.4427658942364825,-0.07839511481895588,0.6908496732026144
train,6,33540,23172,0.5499897840751824,0.08749463862077163,0.4749701848539058,0.03674693595718971,0.6908765652951699
train,7,35739,24614,0.6510987843021151,0.32526768208493534,1.0088418814180586,0.23096611684407248,0.6887154089370155
train,8,41563,28642,0.7512984568851938,0.5517297970517319,1.7051223443928494,0.3716744640737379,0.6891225368717369
train,9,50974,35068,0.8520658410428353,0.8198181530026036,2.5412465178326205,0.576323143606707,0.6879585671126457
train,10,97536,63778,0.9652929541715152,1.344418828516198,4.118074352034121,0.9642353162532534,0.6538918963254593
validation,1,31522,21143,0.03544679394562654,-1.3407137843044274,-3.4926876467229238,-0.8877879203518895,0.6707378973415392
validation,2,16416,11469,0.1478312028960515,-0.8154084069437564,-2.3528874269005846,-0.5703199930246752,0.6986476608187134
validation,3,13924,9536,0.2490795256493204,-0.5440736512350466,-1.785837403045102,-0.39031040268456374,0.6848606722206263
validation,4,11978,8253,0.3494017959570133,-0.3251697394818426,-1.170938387042912,-0.20828789531079608,0.6890131908498914
validation,5,11452,7810,0.4504440283343921,-0.08809368638614876,-0.49550296891372686,0.005441741357234315,0.6819769472581209
validation,6,11164,7580,0.5497151670972953,0.0872918423400879,0.17802758867789323,0.12486807387862797,0.6789681117878896
validation,7,11824,8115,0.651000460920707,0.3250353993449564,0.707966847090663,0.20905730129390018,0.6863159675236806
validation,8,13953,9583,0.7514848885422855,0.545336879300209,1.4038199670321794,0.4271105081915893,0.686805704866337
validation,9,16869,11810,0.8523848574900406,0.8154297079167496,2.1174343470270913,0.6393734123624047,0.7001007765724109
validation,10,33687,22720,0.9651082517330746,1.3408472829238585,3.634324813726363,0.9526408450704226,0.6744441475940274
test,1,73006,36228,0.033576498809604165,-1.2080434682370353,-3.6577199134317726,-0.7110384233189798,0.4962331863134537
test,2,31327,15270,0.1475077379144543,-0.7697536038625737,-2.1034570817505664,-0.4422724296005239,0.48743895042615
test,3,25159,12139,0.2486582017429089,-0.5100007348167577,-1.4389880360904646,-0.23799324491309004,0.4824913549823125
test,4,22549,10777,0.34901758898941065,-0.3245655621757186,-0.9475364761186749,-0.15185116451702702,0.47793693733646725
test,5,21280,10058,0.4505720007963757,-0.11683366515470717,-0.5842575187969925,-0.13959037582024258,0.4726503759398496
test,6,21478,10526,0.5500987224845146,0.11433485033661206,0.2828475649501816,0.07842485274558236,0.49008287550051216
test,7,22558,10940,0.6507891307126497,0.3211091371121844,0.7604840854685699,0.13075868372943328,0.4849720719921979
test,8,25336,12363,0.7513957483694826,0.5130425958031675,1.740981212503947,0.23517754590309795,0.4879617934954215
test,9,31168,15233,0.8523902252548607,0.7699541346026911,1.9690066735112937,0.36483292851047067,0.48873844969199176
test,10,71682,35355,0.9662464431503928,1.2081254050980985,3.775613124633799,0.6883467684910196,0.4932200552439943
