state,spread_state,imbalance_bucket,state_count,g1_ticks,adjustment_ticks
0,1,1,125200,-1.2706532313366168,-1.3652407329093523
1,1,2,68353,-0.7674238244018629,-0.8287639635046541
2,1,3,55332,-0.528578048474956,-0.5643348133497321
3,1,4,47472,-0.30426816675297613,-0.32635484140017823
4,1,5,44453,-0.07788746092477841,-0.08648562152992258
5,1,6,44453,0.07788746092477848,0.08648562152992136
6,1,7,47472,0.3042681667529761,0.32635484140017673
7,1,8,55332,0.5285780484749558,0.5643348133497305
8,1,9,68353,0.7674238244018625,0.8287639635046523
9,1,10,125200,1.270653231336617,1.3652407329093506
10,2,1,733,-0.8770822240924797,-0.9021549475548185
11,2,2,478,-0.19402553401719871,-0.26357173377021426
12,2,3,508,-0.20315581854043394,-0.20185802177352458
13,2,4,455,-0.3561541921865809,-0.358999744205687
14,2,5,484,-0.010688217979568801,-0.035386088780000984
15,2,6,484,0.010688217979568803,0.035386088779999714
16,2,7,455,0.35615419218658095,0.3589997442056859
17,2,8,508,0.20315581854043394,0.2018580217735233
18,2,9,478,0.1940255340171987,0.2635717337702128
19,2,10,733,0.8770822240924797,0.9021549475548172
20,3,1,475,-0.5108104219831041,-0.6094682774033312
21,3,2,364,-0.6040052418388772,-0.6981863707647609
22,3,3,354,-0.09777174353751623,-0.1945002419043709
23,3,4,403,-0.17041774587423322,-0.281224533750526
24,3,5,396,0.1686719522855699,0.1865108744642473
25,3,6,396,-0.16867195228556978,-0.18651087446424816
26,3,7,403,0.1704177458742333,0.28122453375052475
27,3,8,354,0.0977717435375162,0.19450024190436996
28,3,9,364,0.6040052418388774,0.6981863707647599
29,3,10,475,0.5108104219831042,0.6094682774033302
30,4,1,334,-0.6969209625614607,-0.7401332624981061
31,4,2,271,-0.6158904488453169,-0.7058588454128112
32,4,3,326,-0.1656441717791411,-0.1524271929754629
33,4,4,297,-0.2716014955278759,-0.38741179894072025
34,4,5,306,-0.029411764705882353,-0.06749417346786349
35,4,6,306,0.029411764705882353,0.0674941734678622
36,4,7,297,0.2716014955278759,0.38741179894071914
37,4,8,326,0.1656441717791411,0.15242719297546165
38,4,9,271,0.6158904488453169,0.7058588454128097
39,4,10,334,0.6969209625614606,0.7401332624981048
40,5,1,279,-1.5270651044662984,-1.637889859894569
41,5,2,188,-0.3405311503572764,-0.3076194659459312
42,5,3,224,0.13847892451953533,0.04711125244822718
43,5,4,212,0.04073519642680528,0.04474358715635908
44,5,5,242,-0.4047952381048901,-0.2892144117655572
45,5,6,242,0.4047952381048901,0.28921441176555596
46,5,7,212,-0.04073519642680526,-0.04474358715636035
47,5,8,224,-0.13847892451953528,-0.047111252448228384
48,5,9,188,0.34053115035727627,0.30761946594592987
49,5,10,279,1.5270651044662995,1.6378898598945688
50,6,1,181,0.055248618784530384,-0.07196986453590384
51,6,2,139,-0.6438848920863309,-0.6328340583475573
52,6,3,157,-0.08917197452229299,-0.06930854574697759
53,6,4,175,0.20269432424694567,0.11636790591627492
54,6,5,168,-0.047619047619047616,-0.03966272784699367
55,6,6,168,0.047619047619047616,0.039662727846992436
56,6,7,175,-0.20269432424694567,-0.11636790591627617
57,6,8,157,0.08917197452229299,0.06930854574697634
58,6,9,139,0.6438848920863309,0.6328340583475563
59,6,10,181,-0.055248618784530384,0.07196986453590265
60,7,1,153,-1.222222222222222,-1.3168903675131651
61,7,2,123,-1.0557049333842363,-1.110941948352352
62,7,3,103,-0.8827389566900506,-0.9207627351434795
63,7,4,99,-1.3254769921436589,-1.3876265156533798
