strategy,quote_refresh_seconds,split,score,final_pnl,max_drawdown,turnover,fill_count,final_inventory,max_abs_inventory,avg_abs_inventory,avg_quoted_spread_ticks
avellaneda_stoikov_microprice,0.1,validation,-76.77411530462932,-69.66302135,71.10231480000007,304454.9077995999,3841,-3309.0,69480.0,8624.746293188264,90.27890502922622
avellaneda_stoikov_microprice,0.25,validation,-76.77411530462932,-69.66302135,71.10231480000007,304454.9077995999,3841,-3309.0,69480.0,8624.746293188264,90.27892239134209
avellaneda_stoikov_microprice,0.5,validation,-103.08871480214762,-93.60928269999967,94.78555174999964,410832.6969834004,5205,-2114.0,60173.0,8769.271479831008,90.22663660304364
avellaneda_stoikov_microprice,1.0,validation,-123.76990695357803,-112.4450408999992,113.23988039999921,528979.7612051998,6734,-2378.0,55472.0,8780.135789108166,90.06418221923623
avellaneda_stoikov_microprice,2.0,validation,-128.94557044101245,-117.15795109999941,117.86641454999938,600620.5696416997,7661,-1808.0,57391.0,9778.860130794606,89.83213319097162
avellaneda_stoikov_microprice,5.0,validation,-132.42843969234806,-120.33128570000014,120.9601186000001,579192.2297470006,7374,-1590.0,76450.0,11421.323479368019,89.103016113483
avellaneda_stoikov_microprice,0.25,test,-432.3803268557928,-392.97142455000136,394.0835903500016,1183641.4904543033,17401,-1279.0,38453.0,5432.70791274049,106.5283408191142
avellaneda_stoikov_microprice,0.1,test,-432.4288268572098,-393.01542455000146,394.1285903500017,1183499.9364543033,17399,-1279.0,38453.0,5432.722081703054,106.52833213715185
avellaneda_stoikov_microprice,0.5,test,-527.5790655276121,-479.5133280500038,480.65153905000415,1520441.0783432,22443,465.0,37648.0,5835.726078299725,106.45862336107426
avellaneda_stoikov_microprice,5.0,test,-528.9338287825673,-480.77514840000214,481.5771140000021,1603989.9219983108,23942,6910.0,65275.0,9689.825648831988,104.1178508688476
avellaneda_stoikov_microprice,1.0,test,-635.1522186475327,-577.3552114499983,577.9634688999985,1826090.2749975908,27251,-735.0,51648.0,6603.075344963304,105.92873303861035
avellaneda_stoikov_microprice,2.0,test,-660.1793777892894,-600.0919878499988,600.8662180499985,1925804.325305197,28738,-1359.0,64891.0,7681.342908573149,105.76215790509943
avellaneda_stoikov_mid,0.25,validation,-80.0827350704761,-72.69419610000008,73.87645175000009,305945.97420670144,3852,-4292.0,68765.0,8937.954760113433,90.27974998553157
avellaneda_stoikov_mid,0.1,validation,-80.0827350704761,-72.69419610000008,73.87645175000009,305945.97420670144,3852,-4292.0,68765.0,8937.954760113433,90.27974419815962
avellaneda_stoikov_mid,0.5,validation,-103.20500090043366,-93.71034484999966,94.93804159999956,420678.2570990019,5329,-5035.0,59554.0,8518.904340528965,90.2164505696221
avellaneda_stoikov_mid,1.0,validation,-128.55457543005593,-116.78373049999983,117.69967289999977,530949.8754437017,6754,-7396.0,54729.0,8776.40056137508,90.06544851288515
avellaneda_stoikov_mid,2.0,validation,-134.10459817001004,-121.85986379999912,122.43749319999927,607739.0775960968,7761,-3358.0,59621.0,9850.500109960067,89.82277804699245
avellaneda_stoikov_mid,5.0,validation,-135.80370632549236,-123.39042494999882,124.12121824999885,579821.1600973014,7365,5125.0,75969.0,11595.504936628276,89.08223254463638
avellaneda_stoikov_mid,0.25,test,-433.38865674612475,-393.8770859999993,395.11032199999937,1188876.5947158006,17466,3620.0,38599.0,5385.461255295997,106.52488250410946
avellaneda_stoikov_mid,0.1,test,-433.4381567473325,-393.9220859999991,395.1553219999992,1188735.0417158008,17464,3620.0,38599.0,5385.473334799621,106.52488539809691
avellaneda_stoikov_mid,5.0,test,-526.0834189500548,-478.16171805000084,479.20740275000065,1603027.923830913,23988,6131.0,75275.0,9606.250538281665,105.14394917983473
avellaneda_stoikov_mid,0.5,test,-540.9502131486981,-491.6478976000021,493.01732785000195,1535345.749684808,22650,6324.0,39981.0,5827.636957956151,106.47908142599691
avellaneda_stoikov_mid,1.0,test,-633.7029745773063,-576.0186118500021,576.8370096500018,1829355.4658807022,27279,5151.0,52503.0,6617.623040770495,106.09038278142852
avellaneda_stoikov_mid,2.0,test,-661.6040794765876,-601.375707849997,602.2761153499969,1924446.2288790038,28737,8225.0,63147.0,7600.915909406617,105.65881736786625
